emailid,password,firstname,lastname,displayname,oppassword,company,department,role,skilltags
sandeep.sarpe+28@gmail.com,opensilo,OpensilOUserfAutoBA,OpensilOUserlAutoBA,OpensilOAutoUser28,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+29@gmail.com,opensilo,OpensilOUserfAutoCA,OpensilOUserlAutoCA,OpensilOAutoUser29,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+30@gmail.com,opensilo,OpensilOUserfAutoDA,OpensilOUserlAutoDA,OpensilOAutoUser30,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+31@gmail.com,opensilo,OpensilOUserfAutoEA,OpensilOUserlAutoEA,OpensilOAutoUser31,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+32@gmail.com,opensilo,OpensilOUserfAutoFA,OpensilOUserlAutoFA,OpensilOAutoUser32,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+33@gmail.com,opensilo,OpensilOUserfAutoGA,OpensilOUserlAutoGA,OpensilOAutoUser33,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+34@gmail.com,opensilo,OpensilOUserfAutoHA,OpensilOUserlAutoHA,OpensilOAutoUser34,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+35@gmail.com,opensilo,OpensilOUserfAutoIA,OpensilOUserlAutoIA,OpensilOAutoUser35,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+36@gmail.com,opensilo,OpensilOUserfAutoJA,OpensilOUserlAutoJA,OpensilOAutoUser36,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+37@gmail.com,opensilo,OpensilOUserfAutoKA,OpensilOUserlAutoKA,OpensilOAutoUser37,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+38@gmail.com,opensilo,OpensilOUserfAutoLA,OpensilOUserlAutoLA,OpensilOAutoUser38,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+39@gmail.com,opensilo,OpensilOUserfAutoMA,OpensilOUserlAutoMA,OpensilOAutoUser39,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+40@gmail.com,opensilo,OpensilOUserfAutoNA,OpensilOUserlAutoNA,OpensilOAutoUser40,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+41@gmail.com,opensilo,OpensilOUserfAutoOA,OpensilOUserlAutoOA,OpensilOAutoUser41,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+42@gmail.com,opensilo,OpensilOUserfAutoPA,OpensilOUserlAutoPA,OpensilOAutoUser42,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+43@gmail.com,opensilo,OpensilOUserfAutoQA,OpensilOUserlAutoQA,OpensilOAutoUser43,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+44@gmail.com,opensilo,OpensilOUserfAutoRA,OpensilOUserlAutoRA,OpensilOAutoUser44,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+45@gmail.com,opensilo,OpensilOUserfAutoSA,OpensilOUserlAutoSA,OpensilOAutoUser45,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+46@gmail.com,opensilo,OpensilOUserfAutoTA,OpensilOUserlAutoTA,OpensilOAutoUser46,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+47@gmail.com,opensilo,OpensilOUserfAutoUA,OpensilOUserlAutoUA,OpensilOAutoUser47,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+48@gmail.com,opensilo,OpensilOUserfAutoVA,OpensilOUserlAutoVA,OpensilOAutoUser48,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+49@gmail.com,opensilo,OpensilOUserfAutoWA,OpensilOUserlAutoWA,OpensilOAutoUser49,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+50@gmail.com,opensilo,OpensilOUserfAutoXA,OpensilOUserlAutoXA,OpensilOAutoUser50,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+51@gmail.com,opensilo,OpensilOUserfAutoYA,OpensilOUserlAutoYA,OpensilOAutoUser51,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+52@gmail.com,opensilo,OpensilOUserfAutoZA,OpensilOUserlAutoZA,OpensilOAutoUser52,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+53@gmail.com,opensilo,OpensilOUserfAutoAB,OpensilOUserlAutoAB,OpensilOAutoUser53,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+54@gmail.com,opensilo,OpensilOUserfAutoBB,OpensilOUserlAutoBB,OpensilOAutoUser54,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+55@gmail.com,opensilo,OpensilOUserfAutoCB,OpensilOUserlAutoCB,OpensilOAutoUser55,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+56@gmail.com,opensilo,OpensilOUserfAutoDB,OpensilOUserlAutoDB,OpensilOAutoUser56,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+57@gmail.com,opensilo,OpensilOUserfAutoEB,OpensilOUserlAutoEB,OpensilOAutoUser57,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+58@gmail.com,opensilo,OpensilOUserfAutoFB,OpensilOUserlAutoFB,OpensilOAutoUser58,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+59@gmail.com,opensilo,OpensilOUserfAutoGB,OpensilOUserlAutoGB,OpensilOAutoUser59,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+60@gmail.com,opensilo,OpensilOUserfAutoHB,OpensilOUserlAutoHB,OpensilOAutoUser60,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+61@gmail.com,opensilo,OpensilOUserfAutoIB,OpensilOUserlAutoIB,OpensilOAutoUser61,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+62@gmail.com,opensilo,OpensilOUserfAutoJB,OpensilOUserlAutoJB,OpensilOAutoUser62,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+63@gmail.com,opensilo,OpensilOUserfAutoKB,OpensilOUserlAutoKB,OpensilOAutoUser63,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+64@gmail.com,opensilo,OpensilOUserfAutoLB,OpensilOUserlAutoLB,OpensilOAutoUser64,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+65@gmail.com,opensilo,OpensilOUserfAutoMB,OpensilOUserlAutoMB,OpensilOAutoUser65,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+66@gmail.com,opensilo,OpensilOUserfAutoNB,OpensilOUserlAutoNB,OpensilOAutoUser66,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+67@gmail.com,opensilo,OpensilOUserfAutoOB,OpensilOUserlAutoOB,OpensilOAutoUser67,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+68@gmail.com,opensilo,OpensilOUserfAutoPB,OpensilOUserlAutoPB,OpensilOAutoUser68,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+69@gmail.com,opensilo,OpensilOUserfAutoQB,OpensilOUserlAutoQB,OpensilOAutoUser69,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+70@gmail.com,opensilo,OpensilOUserfAutoRB,OpensilOUserlAutoRB,OpensilOAutoUser70,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+71@gmail.com,opensilo,OpensilOUserfAutoSB,OpensilOUserlAutoSB,OpensilOAutoUser71,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+72@gmail.com,opensilo,OpensilOUserfAutoTB,OpensilOUserlAutoTB,OpensilOAutoUser72,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+73@gmail.com,opensilo,OpensilOUserfAutoUB,OpensilOUserlAutoUB,OpensilOAutoUser73,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+74@gmail.com,opensilo,OpensilOUserfAutoVB,OpensilOUserlAutoVB,OpensilOAutoUser74,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+75@gmail.com,opensilo,OpensilOUserfAutoWB,OpensilOUserlAutoWB,OpensilOAutoUser75,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+76@gmail.com,opensilo,OpensilOUserfAutoXB,OpensilOUserlAutoXB,OpensilOAutoUser76,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+77@gmail.com,opensilo,OpensilOUserfAutoYB,OpensilOUserlAutoYB,OpensilOAutoUser77,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+78@gmail.com,opensilo,OpensilOUserfAutoZB,OpensilOUserlAutoZB,OpensilOAutoUser78,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+79@gmail.com,opensilo,OpensilOUserfAutoAC,OpensilOUserlAutoAC,OpensilOAutoUser79,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+80@gmail.com,opensilo,OpensilOUserfAutoBC,OpensilOUserlAutoBC,OpensilOAutoUser80,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+81@gmail.com,opensilo,OpensilOUserfAutoCC,OpensilOUserlAutoCC,OpensilOAutoUser81,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+82@gmail.com,opensilo,OpensilOUserfAutoDC,OpensilOUserlAutoDC,OpensilOAutoUser82,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+83@gmail.com,opensilo,OpensilOUserfAutoEC,OpensilOUserlAutoEC,OpensilOAutoUser83,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+84@gmail.com,opensilo,OpensilOUserfAutoFC,OpensilOUserlAutoFC,OpensilOAutoUser84,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+85@gmail.com,opensilo,OpensilOUserfAutoGC,OpensilOUserlAutoGC,OpensilOAutoUser85,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+86@gmail.com,opensilo,OpensilOUserfAutoHC,OpensilOUserlAutoHC,OpensilOAutoUser86,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+87@gmail.com,opensilo,OpensilOUserfAutoIC,OpensilOUserlAutoIC,OpensilOAutoUser87,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+88@gmail.com,opensilo,OpensilOUserfAutoJC,OpensilOUserlAutoJC,OpensilOAutoUser88,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+89@gmail.com,opensilo,OpensilOUserfAutoKC,OpensilOUserlAutoKC,OpensilOAutoUser89,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+90@gmail.com,opensilo,OpensilOUserfAutoLC,OpensilOUserlAutoLC,OpensilOAutoUser90,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+91@gmail.com,opensilo,OpensilOUserfAutoMC,OpensilOUserlAutoMC,OpensilOAutoUser91,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+92@gmail.com,opensilo,OpensilOUserfAutoNC,OpensilOUserlAutoNC,OpensilOAutoUser92,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+93@gmail.com,opensilo,OpensilOUserfAutoOC,OpensilOUserlAutoOC,OpensilOAutoUser93,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+94@gmail.com,opensilo,OpensilOUserfAutoPC,OpensilOUserlAutoPC,OpensilOAutoUser94,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+95@gmail.com,opensilo,OpensilOUserfAutoQC,OpensilOUserlAutoQC,OpensilOAutoUser95,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+96@gmail.com,opensilo,OpensilOUserfAutoRC,OpensilOUserlAutoRC,OpensilOAutoUser96,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+97@gmail.com,opensilo,OpensilOUserfAutoSC,OpensilOUserlAutoSC,OpensilOAutoUser97,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+98@gmail.com,opensilo,OpensilOUserfAutoTC,OpensilOUserlAutoTC,OpensilOAutoUser98,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+99@gmail.com,opensilo,OpensilOUserfAutoUC,OpensilOUserlAutoUC,OpensilOAutoUser99,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+100@gmail.com,opensilo,OpensilOUserfAutoVC,OpensilOUserlAutoVC,OpensilOAutoUser100,opensilo,Synerzip,QA,Sr QA,selenium
